year,league_id,player_name,team_name,prev_team_name,prev_team_category,birth,position
2015,1,茂木駿佑,ベガルタ仙台,仙台ユース,YOUTH,1996.10.02,MF
2015,1,西村拓真,ベガルタ仙台,富山第一高,HIGH,1996.10.22,FW
2015,1,摂津颯登,モンテディオ山形,山形ユース,YOUTH,1996.10.05,GK
2015,1,高木利弥,モンテディオ山形,神奈川大,UNIV,1992.11.25,DF
2015,1,大橋尚志,鹿島アントラーズ,鹿島ユース,YOUTH,1996.12.01,MF
2015,1,鈴木優磨,鹿島アントラーズ,鹿島ユース,YOUTH,1996.04.26,FW
2015,1,久保田和音,鹿島アントラーズ,大阪桐蔭高,HIGH,1997.01.01,MF
2015,1,斎藤翔太,浦和レッズ,浦和ユース,YOUTH,1996.12.07,MF
2015,1,茂木力也,浦和レッズ,浦和ユース,YOUTH,1996.09.27,DF
2015,1,中山雄太,柏レイソル,柏U-18,YOUTH,1997.02.16,DF
2015,1,大島康樹,柏レイソル,柏U-18,YOUTH,1996.05.30,FW
2015,1,三浦龍輝,柏レイソル,明治大,UNIV,1992.05.17,GK
2015,1,佐々木渉,FC東京,FC東京U-18,YOUTH,1996.07.28,MF
2015,1,小川諒也,FC東京,流通経済大柏高,HIGH,1996.11.24,DF
2015,1,三好康児,川崎フロンターレ,川崎FU-18,YOUTH,1997.03.26,MF
2015,1,板倉滉,川崎フロンターレ,川崎FU-18,YOUTH,1997.01.27,MF
2015,1,車屋紳太郎,川崎フロンターレ,筑波大,UNIV,1992.04.05,MF
2015,1,仲川輝人,横浜F・マリノス,専修大,UNIV,1992.07.27,FW
2015,1,田口潤人,横浜F・マリノス,横浜FMユース,YOUTH,1996.09.28,GK
2015,1,中島賢星,横浜F・マリノス,東福岡高,HIGH,1996.09.23,FW
2015,1,広瀬健太,湘南ベルマーレ,日本体育大,UNIV,1992.06.26,DF
2015,1,岡﨑亮平,湘南ベルマーレ,中央大,UNIV,1992.04.25,DF
2015,1,熊谷駿,ヴァンフォーレ甲府,仙台育英高,HIGH,1996.08.07,DF
2015,1,伊東純也,ヴァンフォーレ甲府,神奈川大,UNIV,1993.03.09,FW
