year,league_id,player_name,team_name,prev_team_name,birth,position
2015,1,茂木 駿佑,ベガルタ仙台,仙台ユース,1996.10.02,MF
2015,1,西村 拓真,ベガルタ仙台,富山第一高,1996.10.22,FW
2015,1,摂津 颯登,モンテディオ山形,山形ユース,1996.10.05,GK
2015,1,高木 利弥,モンテディオ山形,神奈川大,1992.11.25,DF
2015,1,大橋 尚志,鹿島アントラーズ,鹿島ユース,1996.12.01,MF
2015,1,鈴木 優磨,鹿島アントラーズ,鹿島ユース,1996.04.26,FW
2015,1,久保田 和音,鹿島アントラーズ,大阪桐蔭高,1997.01.01,MF
2015,1,斎藤 翔太,浦和レッズ,浦和ユース,1996.12.07,MF
2015,1,茂木 力也,浦和レッズ,浦和ユース,1996.09.27,DF
2015,1,中山 雄太,柏レイソル,柏U-18,1997.02.16,DF
2015,1,大島 康樹,柏レイソル,柏U-18,1996.05.30,FW
2015,1,三浦 龍輝,柏レイソル,明治大,1992.05.17,GK
2015,1,佐々木 渉,ＦＣ東京,FC東京U-18,1996.07.28,MF
2015,1,小川 諒也,ＦＣ東京,流通経済大学付属柏高,1996.11.24,DF
2015,1,三好 康児,川崎フロンターレ,川崎ＦU-18,1997.03.26,MF
2015,1,板倉 滉,川崎フロンターレ,川崎ＦU-18,1997.01.27,MF
2015,1,車屋 紳太郎,川崎フロンターレ,筑波大,1992.04.05,MF
2015,1,仲川 輝人,横浜Ｆ・マリノス,専修大,1992.07.27,FW
2015,1,田口 潤人,横浜Ｆ・マリノス,横浜FMユース,1996.09.28,GK
2015,1,中島 賢星,横浜Ｆ・マリノス,東福岡高,1996.09.23,FW
2015,1,広瀬 健太,湘南ベルマーレ,日本体育大,1992.06.26,DF
2015,1,岡﨑 亮平,湘南ベルマーレ,中央大,1992.04.25,DF
2015,1,熊谷 駿,ヴァンフォーレ甲府,仙台育英高,1996.08.07,DF
2015,1,伊東 純也,ヴァンフォーレ甲府,神奈川大,1993.03.09,FW
2015,1,柴田 隆太朗,松本山雅ＦＣ,拓殖大,1992.11.25,FW
2015,1,谷奥 健四郎,松本山雅ＦＣ,順天堂大,1992.05.28,DF
2015,1,平松 宗,アルビレックス新潟,国士舘大,1992.11.20,FW
2015,1,松原 后,清水エスパルス,浜松開誠館高,1996.08.30,DF
2015,1,北川 航也,清水エスパルス,清水ユース,1996.07.26,FW
2015,1,水谷 拓磨,清水エスパルス,清水ユース,1996.04.24,DF
2015,1,宮本 航汰,清水エスパルス,清水ユース,1996.06.19,MF
2015,1,大武 峻,名古屋グランパス,福岡大,1992.11.24,DF
2015,1,林 瑞輝,ガンバ大阪,Ｇ大阪ユース,1996.09.04,GK
2015,1,嫁阪 翔太,ガンバ大阪,Ｇ大阪ユース,1996.10.19,MF
2015,1,妹尾 直哉,ガンバ大阪,Ｇ大阪ユース,1996.08.15,MF
2015,1,平尾 壮,ガンバ大阪,Ｇ大阪ユース,1996.07.01,FW
2015,1,増山 朝陽,ヴィッセル神戸,東福岡高,1997.01.29,MF
2015,1,山口 真司,ヴィッセル神戸,神戸U-18,1996.04.26,DF
2015,1,松澤 香輝,ヴィッセル神戸,早稲田大,1992.04.03,GK
2015,1,川崎 裕大,サンフレッチェ広島,流通経済大,1992.08.20,DF
2015,1,山﨑 凌吾,サガン鳥栖,福岡大,1992.09.20,FW
2015,1,福田 晃斗,サガン鳥栖,鹿屋体育大,1992.05.01,MF
2015,1,笹原 脩平,サガン鳥栖,秀岳館高,1996.11.22,DF
2015,1,鎌田 大地,サガン鳥栖,東山高,1996.08.05,MF
2015,2,進藤 亮佑,コンサドーレ札幌,札幌U-18,1996.06.07,DF
2015,2,今瀬 淳也,水戸ホーリーホック,国士舘大,1993.01.03,DF
2015,2,角口 大征,水戸ホーリーホック,関東一高,1996.07.15,FW
2015,2,麦倉 捺木,水戸ホーリーホック,柏U-18,1996.05.22,DF
2015,2,吉満 大介,栃木ＳＣ,鹿屋体育大,1993.02.21,GK
2015,2,大岩 亮太,ザスパクサツ群馬,秀岳館高,1996.08.05,FW
2015,2,小牟田 洋佑,ザスパクサツ群馬,駒澤大,1992.07.18,FW
