year,league_id,team_name,player_name,apps,minutes,goals
2015,1,仙台,六反勇治,15,1350,0
2015,1,仙台,鎌田次郎,11,972,1
2015,1,仙台,渡部博文,16,1440,3
2015,1,仙台,蜂須賀孝治,12,542,0
2015,1,仙台,石川直樹,15,1350,1
2015,1,仙台,キムミンテ,7,599,3
2015,1,仙台,奥埜博亮,15,1047,5
2015,1,仙台,野沢拓也,15,1155,2
2015,1,仙台,ウイルソン,13,937,4
2015,1,仙台,梁勇基,16,1401,2
2015,1,仙台,金園英学,16,1066,4
2015,1,仙台,金久保順,5,72,0
2015,1,仙台,シュミットダニエル,0,0,0
2015,1,仙台,富田晋伍,17,1530,0
2015,1,仙台,杉浦恭平,3,24,0
2015,1,仙台,ハモンロペス,9,460,1
2015,1,仙台,関憲太郎,2,180,0
2015,1,仙台,二見宏志,3,254,0
2015,1,仙台,菅井直樹,13,887,0
2015,1,仙台,藤村慶太,3,12,0
2015,1,仙台,武井択也,2,71,0
2015,1,仙台,山本大貴,4,21,0
2015,1,仙台,上本大海,0,0,0
2015,1,仙台,西村拓真,0,0,0
2015,1,仙台,茂木駿佑,11,717,0
2015,1,仙台,多々良敦斗,10,702,1
2015,1,仙台,村上和弘,0,0,0
2015,1,仙台,小島雅也,0,0,0
2015,1,仙台,榎本滉大,0,0,0
2015,1,山形,山岸範宏,17,1530,0
2015,1,山形,舩津徹也,6,436,0
2015,1,山形,渡辺広大,1,90,0
2015,1,山形,西河翔吾,16,1440,2
2015,1,山形,アルセウ,16,1440,0
2015,1,山形,山田拓巳,3,262,0
2015,1,山形,松岡亮輔,14,1143,0
2015,1,山形,林陵平,13,776,2
2015,1,山形,中島裕希,14,225,2
2015,1,山形,伊東俊,4,122,0
2015,1,山形,ディエゴ,17,1530,5
2015,1,山形,石川竜也,17,1530,0
2015,1,山形,宮阪政樹,8,394,0
2015,1,山形,兼田亜季重,0,0,0
2015,1,山形,當間建文,16,1393,0
2015,1,山形,萬代宏樹,5,55,0
2015,1,山形,日髙慶太,0,0,0
2015,1,山形,キムボムヨン,16,1421,1
2015,1,山形,瀬川和樹,1,90,0
2015,1,山形,ロメロフランク,14,817,2
2015,1,山形,汰木康也,0,0,0
2015,1,山形,宇佐美宏和,1,61,0
2015,1,山形,高木利弥,9,643,0
2015,1,山形,川西翔太,11,553,0
2015,1,山形,山﨑雅人,11,621,0
2015,1,山形,高木純平,3,258,0
2015,1,山形,中村英之,0,0,0
2015,1,鹿島,佐藤昭大,7,630,0
2015,1,鹿島,昌子源,14,1260,1
2015,1,鹿島,山村和也,5,281,0
2015,1,鹿島,青木剛,13,663,0
2015,1,鹿島,カイオ,16,1192,5
2015,1,鹿島,土居聖真,16,1346,3
2015,1,鹿島,ジネイ,4,222,1
2015,1,鹿島,本山雅志,4,59,0
2015,1,鹿島,中村充孝,8,199,1
2015,1,鹿島,ファンソッコ,11,852,0
2015,1,鹿島,高崎寛之,13,633,0
2015,1,鹿島,山本脩斗,11,915,0
2015,1,鹿島,鈴木隆雅,1,22,0
2015,1,鹿島,赤﨑秀平,7,340,4
2015,1,鹿島,豊川雄太,2,39,0
2015,1,鹿島,柴崎岳,16,1440,2
2015,1,鹿島,曽ヶ端準,10,900,0
2015,1,鹿島,西大伍,16,1440,0
2015,1,鹿島,植田直通,10,688,1
2015,1,鹿島,伊東幸敏,5,284,0
2015,1,鹿島,遠藤康,15,1024,3
2015,1,鹿島,久保田和音,0,0,0
2015,1,鹿島,梅鉢貴秀,8,457,0
2015,1,鹿島,大橋尚志,0,0,0
2015,1,鹿島,杉本太郎,1,60,0
2015,1,鹿島,金崎夢生,13,946,4
2015,1,鹿島,小笠原満男,12,937,1
2015,1,浦和,西川周作,17,1530,0
2015,1,浦和,加賀健一,3,33,0
2015,1,浦和,宇賀神友弥,14,1200,1
2015,1,浦和,那須大亮,16,1440,2
2015,1,浦和,槙野智章,17,1530,1
2015,1,浦和,梅崎司,16,864,6
2015,1,浦和,柏木陽介,16,1350,1
2015,1,浦和,石原直樹,4,298,0
2015,1,浦和,鈴木啓太,3,81,0
2015,1,浦和,平川忠亮,4,203,0
2015,1,浦和,大谷幸輝,0,0,0
2015,1,浦和,青木拓矢,8,230,0
2015,1,浦和,永田充,3,117,0
2015,1,浦和,武藤雄樹,16,1233,8
2015,1,浦和,李忠成,14,538,1
2015,1,浦和,ズラタン,13,734,5
2015,1,浦和,阿部勇樹,17,1530,2
2015,1,浦和,関根貴大,16,1180,4
2015,1,浦和,興梠慎三,11,782,7
2015,1,浦和,高木俊幸,8,326,0
2015,1,浦和,橋本和,5,122,0
2015,1,浦和,岡本拓也,1,76,0
2015,1,浦和,森脇良太,16,1418,1
2015,1,浦和,大川圭為,0,0,0
2015,1,柏,藤田優人,5,410,0
2015,1,柏,近藤直也,1,6,0
2015,1,柏,鈴木大輔,17,1530,1
2015,1,柏,増嶋竜也,2,135,0
2015,1,柏,山中亮輔,6,180,0
