year,league_id,team_name,player_name,apps,minutes,goals
2015,1,仙台,六反　勇治,15,1350,0
2015,1,仙台,鎌田　次郎,11,972,1
2015,1,仙台,渡部　博文,16,1440,3
2015,1,仙台,蜂須賀　孝治,12,542,0
2015,1,仙台,石川　直樹,15,1350,1
2015,1,仙台,キム　ミンテ,7,599,3
2015,1,仙台,奥埜　博亮,15,1047,5
2015,1,仙台,野沢　拓也,15,1155,2
2015,1,仙台,ウイルソン,13,937,4
2015,1,仙台,梁　勇基,16,1401,2
2015,1,仙台,金園　英学,16,1066,4
2015,1,仙台,金久保　順,5,72,0
2015,1,仙台,シュミット　ダニエル,0,0,0
2015,1,仙台,富田　晋伍,17,1530,0
2015,1,仙台,杉浦　恭平,3,24,0
2015,1,仙台,ハモン　ロペス,9,460,1
2015,1,仙台,関　憲太郎,2,180,0
2015,1,仙台,二見　宏志,3,254,0
2015,1,仙台,菅井　直樹,13,887,0
2015,1,仙台,藤村　慶太,3,12,0
2015,1,仙台,武井　択也,2,71,0
2015,1,仙台,山本　大貴,4,21,0
2015,1,仙台,上本　大海,0,0,0
2015,1,仙台,西村　拓真,0,0,0
2015,1,仙台,茂木　駿佑,11,717,0
2015,1,仙台,多々良　敦斗,10,702,1
2015,1,仙台,村上　和弘,0,0,0
2015,1,仙台,小島　雅也,0,0,0
2015,1,仙台,榎本　滉大,0,0,0
2015,1,山形,山岸　範宏,17,1530,0
2015,1,山形,舩津　徹也,6,436,0
2015,1,山形,渡辺　広大,1,90,0
2015,1,山形,西河　翔吾,16,1440,2
2015,1,山形,アルセウ,16,1440,0
2015,1,山形,山田　拓巳,3,262,0
2015,1,山形,松岡　亮輔,14,1143,0
2015,1,山形,林　陵平,13,776,2
2015,1,山形,中島　裕希,14,225,2
2015,1,山形,伊東　俊,4,122,0
2015,1,山形,ディエゴ,17,1530,5
2015,1,山形,石川　竜也,17,1530,0
2015,1,山形,宮阪　政樹,8,394,0
2015,1,山形,兼田　亜季重,0,0,0
2015,1,山形,當間　建文,16,1393,0
2015,1,山形,萬代　宏樹,5,55,0
2015,1,山形,日髙　慶太,0,0,0
2015,1,山形,キム　ボムヨン,16,1421,1
2015,1,山形,瀬川　和樹,1,90,0
2015,1,山形,ロメロ　フランク,14,817,2
2015,1,山形,汰木　康也,0,0,0
2015,1,山形,宇佐美　宏和,1,61,0
2015,1,山形,高木　利弥,9,643,0
2015,1,山形,川西　翔太,11,553,0
2015,1,山形,山﨑　雅人,11,621,0
2015,1,山形,高木　純平,3,258,0
2015,1,山形,中村　英之,0,0,0
2015,1,鹿島,佐藤　昭大,7,630,0
2015,1,鹿島,昌子　源,14,1260,1
2015,1,鹿島,山村　和也,5,281,0
2015,1,鹿島,青木　剛,13,663,0
2015,1,鹿島,カイオ,16,1192,5
2015,1,鹿島,土居　聖真,16,1346,3
2015,1,鹿島,ジネイ,4,222,1
2015,1,鹿島,本山　雅志,4,59,0
2015,1,鹿島,中村　充孝,8,199,1
2015,1,鹿島,ファン　ソッコ,11,852,0
2015,1,鹿島,高崎　寛之,13,633,0
2015,1,鹿島,山本　脩斗,11,915,0
2015,1,鹿島,鈴木　隆雅,1,22,0
2015,1,鹿島,赤﨑　秀平,7,340,4
2015,1,鹿島,豊川　雄太,2,39,0
2015,1,鹿島,柴崎　岳,16,1440,2
2015,1,鹿島,曽ヶ端　準,10,900,0
2015,1,鹿島,西　大伍,16,1440,0
2015,1,鹿島,植田　直通,10,688,1
2015,1,鹿島,伊東　幸敏,5,284,0
2015,1,鹿島,遠藤　康,15,1024,3
2015,1,鹿島,久保田　和音,0,0,0
2015,1,鹿島,梅鉢　貴秀,8,457,0
2015,1,鹿島,大橋　尚志,0,0,0
2015,1,鹿島,杉本　太郎,1,60,0
2015,1,鹿島,金崎　夢生,13,946,4
2015,1,鹿島,小笠原　満男,12,937,1
2015,1,浦和,西川　周作,17,1530,0
2015,1,浦和,加賀　健一,3,33,0
2015,1,浦和,宇賀神　友弥,14,1200,1
2015,1,浦和,那須　大亮,16,1440,2
2015,1,浦和,槙野　智章,17,1530,1
2015,1,浦和,梅崎　司,16,864,6
2015,1,浦和,柏木　陽介,16,1350,1
2015,1,浦和,石原　直樹,4,298,0
2015,1,浦和,鈴木　啓太,3,81,0
2015,1,浦和,平川　忠亮,4,203,0
2015,1,浦和,大谷　幸輝,0,0,0
2015,1,浦和,青木　拓矢,8,230,0
2015,1,浦和,永田　充,3,117,0
2015,1,浦和,武藤　雄樹,16,1233,8
2015,1,浦和,李　忠成,14,538,1
2015,1,浦和,ズラタン,13,734,5
2015,1,浦和,阿部　勇樹,17,1530,2
2015,1,浦和,関根　貴大,16,1180,4
2015,1,浦和,興梠　慎三,11,782,7
2015,1,浦和,高木　俊幸,8,326,0
2015,1,浦和,橋本　和,5,122,0
2015,1,浦和,岡本　拓也,1,76,0
2015,1,浦和,森脇　良太,16,1418,1
2015,1,浦和,大川　圭為,0,0,0
